n	gene_name
496	RPE
497	RPL7L1
498	RPN1
499	RRM2
500	RT1-BA
501	RT1-DA
502	RT1-EC2
503	RT1-S3
504	SAE1
505	SALL1
506	SAR1B
507	SARNP
508	SAT2
509	SCARB1
510	SCD1
511	SCFD1
512	SCLY
513	SDC4
514	SDF2
515	SDS
516	SEC13
517	SEC22B
518	SEC23B
519	SEC61A1
520	SEC63
521	SECISBP2L
522	SECTM1B
523	SEPTIN10
524	SEPTIN7
525	SEPTIN9
526	SERPINA11
527	SERPINA6
528	SERPINB9
529	SF3A3
530	SFPQ
531	SFT2D2
532	SGK1
533	SGPP1
534	SH3BGRL3
535	SH3BP5
536	SHMT2
537	SIDT2
538	SIN3B
539	SIRT5
540	SLC17A3
541	SLC22A2
542	SLC25A17
543	SLC25A20
544	SLC25A22
545	SLC26A8
546	SLC27A5
547	SLC28A2
548	SLC34A1
549	SLC34A2
550	SLC35B4
551	SLC37A4
552	SLC41A2
553	SLC49A4
554	SLCO1A2
555	SLFN3
556	SMIM26
557	SMOC1
558	SND1
559	SNRNP25
560	SOD3
561	SPARC
562	SPCS2
563	SPG20
564	SPG21
565	SPINK1
566	SPNS1
567	SPTSSA
568	SREBF1
569	SRGN
570	SRP72
571	SRPR
572	SRPRB
573	SRRM2
574	SRSF2
575	SRSF3
576	SRSF4
577	SSR1
578	SSX2IP
579	ST6GAL1
580	STAC3
581	STAP2
582	STARD5
583	STAT1
584	STBD1
585	STEAP3
586	STMN1
587	SUMO3
588	SUN2
589	SVIP
590	TAGLN2
591	TARS1
592	TCERG1
593	TCIRG1
594	TCTA
595	TDO2
596	TEF
597	TENT2
598	TEX264
599	TFG
600	TGM2
601	THRSP
602	TIMM10B
603	TKFC
604	TKT
605	TLE1
606	TM2D2
607	TM2D3
608	TMED9
609	TMEM106B
610	TMEM14C
611	TMEM203
612	TMEM205
613	TMEM214
614	TMEM250
615	TMEM256
616	TMEM263
617	TMEM33
618	TMEM38B
619	TMEM59
620	TMEM97
621	TMPRSS2
622	TMSB4X
623	TMX2
624	TP53
625	TPM1
626	TPM3
627	TPM4
628	TRIM5
629	TSC22D3
630	TTC13
631	TUBA1C
632	TUBA4A
633	TUBB2A
634	TUBB4B
635	TUBB5
636	TUFM
637	UBE2C
638	UBE2S
639	UBXN1
640	UGT1A6
641	ULK1
642	UMPS
643	USE1
644	VAMP7
645	VIM
646	VNN1
647	VWA8
648	WASL
649	WBP1L
650	WIPI1
651	XDH
652	XPC
653	XPO1
654	XYLB
655	YARS1
656	YBX3
657	YPEL5
658	YWHAH
659	ZBTB20
660	ZFP354A
661	ZFP446
